id,result
422,855e4dbb68d6afd236f6e4e303d12128
688,06e5a71c9839bd98760be56f629b24cc
940,5c8a950061aa331153f4a172bbcbfd1b
1324,4de1d4cb502bf70be86ca1b710131d51
53,c5552c0dd97da400e93035824ef6ab1b
334,b6be377cdd7a194161c2b534c3378b52
1129,d0c7fd04e0431a3c45e6adf153101708
216,1709f60089245e2a79b9229fc478a6b9
1451,c4f409f1abb5dae84a548bb32e9d8d80
25,7dd5b839ed1156dbda125dd756ee4b31
23,13070c8158e8fcc521cf17add46c93ac
1383,16133334fc2f5f4c9b912939bdeb7954
1304,453afdb309ef851da8d44b60c03a3a07
1238,80853f0e701c4c2c5c339b9d315a6c98
154,5c8a950061aa331153f4a172bbcbfd1b
734,83c6be21807f849f6843e21b9e2e2c50
785,026641d7000667532c081dbd831e576b
384,1709f60089245e2a79b9229fc478a6b9
792,ac28e7cd4cdcfe0d2d49c4e87b29b81d
1157,5223927ee07f07a9ea253d37c41c193f
67,52863f73acffd7f24bee3ee54f87b50b
1373,d3395e15f605bc35ab1bac6341a285e2
72,1709f60089245e2a79b9229fc478a6b9
467,5c8a950061aa331153f4a172bbcbfd1b
736,257fc5210f1edaa8d76d2d951075ab95
1236,18a62d1a91d7763333e981234f480525
605,56c9a7f5c11d26fc1bbcb1bdfb00cfd2
205,1709f60089245e2a79b9229fc478a6b9
1153,5418a35b513a9550b1468e3b6fc49a14
712,6bed4a7a1d06f03abd45acb650156b85
1354,dac112e3ae35e16dca9c262c051780e6
1149,8c9f081a88f539969f3dff99d6e05e36
791,32cf04c1bd862d40950dde62187592c9
1459,17e46669f23126139fdede59c802df05
647,e093b9703e74859c2f5cdf35a3ad886a
1196,1f00daa06b97eaf9595feaed847c3f95
1288,8f3efe23fbb17c2242c541d1d5ac61a3
780,1709f60089245e2a79b9229fc478a6b9
679,e8c195a5db58643162b7b76ecbbd347c
19,7a3ab8aec1f9d5064136e850d1ac2d6e
802,be99cbaceb58a5aef1b7da662433f5ab
2,1709f60089245e2a79b9229fc478a6b9
928,3728c4a4244a00334e312073923e2a82
450,5c8a950061aa331153f4a172bbcbfd1b
961,14d929137678f060bd95545e89266559
262,1709f60089245e2a79b9229fc478a6b9
810,795165a6ed638a5789a5366d2acfa747
1006,61ef8b98a1ac6e166858f88b486fac67
569,5c8a950061aa331153f4a172bbcbfd1b
613,385530af71a9e96a3d42ab5391089171
397,1709f60089245e2a79b9229fc478a6b9
1358,43727fc54a8fe5b5c3c554e370f5b0d6
971,ea15e5e0b2ca39252a110cc16bc1ea3e
247,b635c2b7f33d6dd12992aa5b2a55cd12
57,2639edb971425fc9123a37fd92e1688f
295,5c8a950061aa331153f4a172bbcbfd1b
813,6150ea706a8eb6c7909ccffc572a842a
343,14e82dad10f30e4ee58ed7de2ad128ac
440,1709f60089245e2a79b9229fc478a6b9
